 method;n_elements;time
 matmul();         100 ;   3.3149719238281252E-004
 nested loops;         100 ;   1.5974044799804688E-006
 numpy;         100 ;   1.3773298263549805E-002
 matmul();        2500 ;   9.5469951629638676E-004
 nested loops;        2500 ;   1.9750595092773437E-004
 numpy;        2500 ;   1.1207818984985351E-003
 matmul();       10000 ;   3.4289360046386720E-004
 nested loops;       10000 ;   1.0869026184082032E-003
 numpy;       10000 ;   3.6978721618652344E-004
 matmul();       62500 ;   3.9704084396362301E-003
 nested loops;       62500 ;   1.9086909294128419E-002
 numpy;       62500 ;   2.5998115539550780E-003
 matmul();      250000 ;   2.0385384559631348E-002
 nested loops;      250000 ;  0.12951791286468506     
 numpy;      250000 ;   2.0107030868530273E-003
 matmul();      562500 ;   5.7519602775573733E-002
 nested loops;      562500 ;  0.46448459625244143     
 numpy;      562500 ;   5.2858829498291012E-003
 matmul();     1000000 ;  0.13312640190124511     
 nested loops;     1000000 ;   1.5868952989578247     
 numpy;     1000000 ;   1.1653900146484375E-002
 matmul();     1000000 ;  0.12955021858215332     
 numpy;     1000000 ;   1.0773205757141113E-002
 matmul-noalloc;     1000000 ;  0.12945919036865233     
 matmul();     2250000 ;  0.42638280391693117     
 nested loops;     2250000 ;   27.827946496009826     
 numpy;     2250000 ;   4.2149615287780759E-002
 matmul();     4000000 ;   1.0009896039962769     
