 method;n_elements;time
 matmul();         100 ;  1.311302185058594E-006
 nested loops;         100 ;  1.811981201171875E-006
 numpy;         100 ;  1.482963562011719E-004
 matmul();        2500 ;  5.137920379638672E-005
 nested loops;        2500 ;  4.508495330810547E-005
 numpy;        2500 ;  7.259845733642578E-005
 matmul();       10000 ;  2.300977706909180E-004
 nested loops;       10000 ;  2.150058746337891E-004
 numpy;       10000 ;  3.458976745605469E-004
 matmul();       62500 ;  2.826690673828125E-003
 nested loops;       62500 ;  2.479195594787598E-003
 numpy;       62500 ;  1.216983795166016E-003
 matmul();      250000 ;  1.299660205841064E-002
 nested loops;      250000 ;  1.216330528259277E-002
 numpy;      250000 ;  6.987190246582032E-003
 matmul();      562500 ;  5.287361145019531E-002
 nested loops;      562500 ;  5.117051601409912E-002
 numpy;      562500 ;  2.196891307830811E-002
 matmul();     1000000 ;  9.571700096130371E-002
 nested loops;     1000000 ;  9.048838615417480E-002
 numpy;     1000000 ;  5.038218498229981E-002
 matmul();     1000000 ;  9.581789970397950E-002
 numpy;     1000000 ;  5.011689662933350E-002
 matmul-noalloc;     1000000 ;  8.163058757781982E-002
 matmul();     2250000 ;  0.336072206497192     
 nested loops;     2250000 ;  0.309936785697937     
 numpy;     2250000 ;  0.165767908096313     
 matmul();     4000000 ;  0.757523512840271     
 nested loops;     4000000 ;  0.751746606826782     
 numpy;     4000000 ;  0.389340901374817     
 matmul();     6250000 ;   1.50960710048676     
 numpy;     6250000 ;  0.762283182144165     
 matmul();     9000000 ;   2.58723359107971     
 numpy;     9000000 ;   1.28923101425171     
 matmul();    12250000 ;   4.15217530727386     
 numpy;    12250000 ;   2.06720290184021     
 matmul();    16000000 ;   6.46527729034424     
 numpy;    16000000 ;   3.00900259017944     
 matmul();    20250000 ;   8.83615620136261     
 numpy;    20250000 ;   4.31287817955017     
 matmul();    25000000 ;   12.0442473173141     
 numpy;    25000000 ;   5.87126438617706     
 matmul();    30250000 ;   16.3261952877045     
 numpy;    30250000 ;   7.85226669311523     
 matmul();    36000000 ;   20.9531459808350     
 numpy;    36000000 ;   10.1154699087143     
 matmul();    42250000 ;   26.7305552005768     
 numpy;    42250000 ;   12.8356138944626     
 matmul();    49000000 ;   33.3600592851639     
 numpy;    49000000 ;   15.9898684024811     
 matmul();    56250000 ;   40.8059251070023     
 numpy;    56250000 ;   19.6606491088867     
