 method;n_elements;time
 matmul();         100 ;  1.287460327148438E-006
 nested loops;         100 ;  1.811981201171875E-006
 numpy;         100 ;  3.618955612182617E-004
 matmul();        2500 ;  5.359649658203125E-005
 nested loops;        2500 ;  4.348754882812500E-005
 numpy;        2500 ;  7.359981536865234E-005
 matmul();       10000 ;  2.279043197631836E-004
 nested loops;       10000 ;  2.146005630493164E-004
 numpy;       10000 ;  3.964900970458984E-004
 matmul();       62500 ;  3.021502494812012E-003
 nested loops;       62500 ;  2.032399177551270E-003
 numpy;       62500 ;  1.124191284179687E-003
 matmul();      250000 ;  1.270258426666260E-002
 nested loops;      250000 ;  1.324188709259033E-002
 numpy;      250000 ;  7.066702842712403E-003
 matmul();      562500 ;  5.193290710449219E-002
 nested loops;      562500 ;  5.175099372863769E-002
 numpy;      562500 ;  2.209849357604981E-002
 matmul();     1000000 ;  9.777770042419434E-002
 nested loops;     1000000 ;  9.720809459686279E-002
 numpy;     1000000 ;  5.312440395355224E-002
 matmul();     1000000 ;  9.474039077758789E-002
 numpy;     1000000 ;  5.080959796905517E-002
 matmul-noalloc;     1000000 ;  8.248221874237061E-002
 matmul();     2250000 ;  0.327065587043762     
 nested loops;     2250000 ;  0.313039588928223     
 numpy;     2250000 ;  0.167139792442322     
 matmul();     4000000 ;  0.759633016586304     
 nested loops;     4000000 ;  0.748043203353882     
 numpy;     4000000 ;  0.393008995056152     
 matmul();     6250000 ;   1.50819289684296     
 numpy;     6250000 ;  0.769703984260559     
 matmul();     9000000 ;   2.74381082057953     
 numpy;     9000000 ;   1.29746439456940     
 matmul();    12250000 ;   4.12979278564453     
 numpy;    12250000 ;   2.05264630317688     
 matmul();    16000000 ;   6.04189729690552     
 numpy;    16000000 ;   3.00002720355988     
 matmul();    20250000 ;   8.82171931266785     
 numpy;    20250000 ;   4.30876328945160     
 matmul();    25000000 ;   12.0359314918518     
 numpy;    25000000 ;   5.86311588287353     
 matmul();    30250000 ;   16.2962638139725     
 numpy;    30250000 ;   7.85620169639587     
 matmul();    36000000 ;   20.9529350996017     
 numpy;    36000000 ;   10.0869747161865     
 matmul();    42250000 ;   26.6928042888641     
 numpy;    42250000 ;   12.8158107042313     
 matmul();    49000000 ;   33.3238610982895     
 numpy;    49000000 ;   15.9869982004166     
 matmul();    56250000 ;   40.7951967954636     
 numpy;    56250000 ;   19.6543323993683     
