 method;n_elements;time
 matmul();         100 ;  0.000000000000000E+000
 nested loops;         100 ;  0.000000000000000E+000
 numpy;         100 ;  1.000000000000001E-004
 matmul();        2500 ;  1.000000000000001E-004
 nested loops;        2500 ;  0.000000000000000E+000
 numpy;        2500 ;  0.000000000000000E+000
 matmul();       10000 ;  2.999000000000002E-004
 nested loops;       10000 ;  2.000000000000002E-004
 numpy;       10000 ;  1.999999999999974E-004
 matmul();       62500 ;  2.799600000000002E-003
 nested loops;       62500 ;  2.099599999999996E-003
 numpy;       62500 ;  1.199800000000001E-003
 matmul();      250000 ;  1.279800000000000E-002
 nested loops;      250000 ;  1.159820000000000E-002
 numpy;      250000 ;  6.999000000000000E-003
 matmul();      562500 ;  5.349179999999999E-002
 nested loops;      562500 ;  5.619150000000002E-002
 numpy;      562500 ;  2.199659999999999E-002
 matmul();     1000000 ;  0.102984300000000     
 nested loops;     1000000 ;  9.558550000000002E-002
 numpy;     1000000 ;  5.049229999999998E-002
 matmul();     1000000 ;  9.628540000000001E-002
 numpy;     1000000 ;  5.029240000000001E-002
 matmul-noalloc;     1000000 ;  8.908640000000005E-002
 matmul();     2250000 ;  0.337748600000000     
 nested loops;     2250000 ;  0.308253100000000     
 numpy;     2250000 ;  0.166074700000000     
 matmul();     4000000 ;  0.749586000000000     
 nested loops;     4000000 ;  0.730189000000000     
 numpy;     4000000 ;  0.389340800000000     
 matmul();     6250000 ;   1.49847220000000     
 numpy;     6250000 ;  0.762384100000000     
 matmul();     9000000 ;   2.59930490000000     
 numpy;     9000000 ;   1.28880410000000     
 matmul();    12250000 ;   4.13957060000000     
 numpy;    12250000 ;   2.05758720000000     
 matmul();    16000000 ;   6.05417960000000     
 numpy;    16000000 ;   3.01254210000000     
 matmul();    20250000 ;   8.82325870000000     
 numpy;    20250000 ;   4.31284430000000     
 matmul();    25000000 ;   12.0455689000000     
 numpy;    25000000 ;   5.88260570000000     
 matmul();    30250000 ;   16.3128201000000     
 numpy;    30250000 ;   7.83090950000000     
 matmul();    36000000 ;   20.9844099000000     
 numpy;    36000000 ;   10.0978649000000     
 matmul();    42250000 ;   26.7509332000000     
 numpy;    42250000 ;   12.8492467000000     
 matmul();    49000000 ;   33.3572289000000     
 numpy;    49000000 ;   15.9833701000000     
 matmul();    56250000 ;   40.8569887000000     
 numpy;    56250000 ;   19.6495128000000     
