 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   9.9979937076568595E-004
 matmul();        2500 ;   9.9998712539672854E-005
 nested loops;        2500 ;   1.9989907741546631E-004
 numpy;        2500 ;   1.0598397254943848E-002
 matmul();       10000 ;   8.4986925125122067E-003
 nested loops;       10000 ;   3.3594906330108643E-002
 numpy;       10000 ;   4.7992110252380368E-003
 matmul();       62500 ;   9.8485112190246582E-002
 nested loops;       62500 ;  0.35484609603881834     
 numpy;       62500 ;   1.2698125839233399E-002
 matmul();      250000 ;  0.44243278503417971     
 nested loops;      250000 ;  0.11578235626220704     
 numpy;      250000 ;   4.4893264770507812E-002
 matmul();      562500 ;  0.44853191375732421     
 nested loops;      562500 ;  0.40233879089355468     
 numpy;      562500 ;  0.11768188476562499     
 matmul();     1000000 ;  0.47552795410156251     
 nested loops;     1000000 ;   1.4317821502685546     
 numpy;     1000000 ;  0.27245864868164060     
 matmul();     1000000 ;  0.48332672119140624     
 numpy;     1000000 ;  0.24706268310546875     
 matmul() - no allocate;     1000000 ;  0.46662940979003908     
 matmul();     4000000 ;  0.95555458068847654     
 numpy;     4000000 ;   2.1280769348144530     
 matmul();     9000000 ;   3.2006134033203124     
 numpy;     9000000 ;   5.1381195068359373     
 matmul();    16000000 ;   7.4704635620117186     
 numpy;    16000000 ;   9.4877578735351555     
 matmul();    25000000 ;   14.743161010742188     
 numpy;    25000000 ;   13.313577270507812     
