 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   7.9989954829216001E-004
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   0.0000000000000000     
 numpy;        2500 ;   1.4996998012065887E-003
 matmul();       10000 ;   9.9980011582374568E-004
 nested loops;       10000 ;   1.1698200553655624E-002
 numpy;       10000 ;   3.0994981527328489E-003
 matmul();       62500 ;   6.1990597844123842E-002
 nested loops;       62500 ;  0.17367360591888428     
 numpy;       62500 ;   3.0996084213256838E-003
 matmul();      250000 ;  0.20176930427551271     
 nested loops;      250000 ;   0.0000000000000000     
 numpy;      250000 ;   2.2296571731567384E-002
 matmul();      562500 ;  0.20366907119750977     
 nested loops;      562500 ;   0.0000000000000000     
 numpy;      562500 ;   4.0693807601928714E-002
 matmul();     1000000 ;  0.18247232437133790     
 nested loops;     1000000 ;   0.0000000000000000     
 numpy;     1000000 ;  0.10178451538085938     
 matmul();     1000000 ;  0.19597015380859376     
 numpy;     1000000 ;   9.3685722351074224E-002
 matmul() - no allocate;     1000000 ;  0.17887287139892577     
 matmul();     4000000 ;   3.8993835449218752E-003
 numpy;     4000000 ;  0.80657730102539060     
 matmul();     9000000 ;   3.0995178222656249E-002
 numpy;     9000000 ;   1.7928274154663086     
 matmul();    16000000 ;   5.3591537475585940E-002
 numpy;    16000000 ;   2.7454830169677735     
 matmul();    25000000 ;   8.7086486816406253E-002
 numpy;    25000000 ;   2.7646797180175779     
