 method;n_elements;time
 matmul();         100 ;   1.0967254638671874E-006
 nested loops;         100 ;   8.1062316894531248E-007
 numpy;         100 ;   2.1311998367309569E-003
 matmul();        2500 ;   6.2799453735351557E-005
 nested loops;        2500 ;   1.3699531555175782E-004
 numpy;        2500 ;   1.6053199768066406E-003
 matmul();       10000 ;   2.2790431976318359E-004
 nested loops;       10000 ;   1.0928153991699220E-003
 numpy;       10000 ;   2.4471282958984377E-004
 matmul();       62500 ;   3.2295942306518554E-003
 nested loops;       62500 ;   1.6689205169677736E-002
 numpy;       62500 ;   5.6068897247314449E-004
 matmul();      250000 ;   1.6284203529357909E-002
 nested loops;      250000 ;  0.11789779663085938     
 numpy;      250000 ;   2.0344972610473631E-003
 matmul();      562500 ;   5.3038501739501955E-002
 nested loops;      562500 ;  0.40358691215515136     
 numpy;      562500 ;   4.7860145568847656E-003
 matmul();     1000000 ;  0.12044129371643067     
 nested loops;     1000000 ;   1.4250680923461914     
 numpy;     1000000 ;   1.0706686973571777E-002
 matmul();     1000000 ;  0.11886599063873290     
 numpy;     1000000 ;   9.7222089767456058E-003
 matmul-noalloc;     1000000 ;  0.11715390682220458     
 matmul();     4000000 ;  0.93230960369110105     
 numpy;     4000000 ;   8.8672184944152826E-002
 matmul();     9000000 ;   3.1264533996582031     
 numpy;     9000000 ;  0.21063489913940431     
 matmul();    16000000 ;   7.4132719039916992     
 numpy;    16000000 ;  0.43320109844207766     
 matmul();    25000000 ;   14.254339909553527     
 numpy;    25000000 ;  0.72024261951446533     
