 method;n_elements;time
 matmul();         100 ;   1.7189979553222655E-005
 nested loops;         100 ;   9.0599060058593746E-007
 numpy;         100 ;   1.7843008041381835E-003
 matmul();        2500 ;   9.9015235900878909E-005
 nested loops;        2500 ;   2.4600028991699218E-004
 numpy;        2500 ;   4.5323133468627933E-003
 matmul();       10000 ;   2.1219253540039062E-004
 nested loops;       10000 ;   1.0828018188476563E-003
 numpy;       10000 ;   2.5749206542968750E-004
 matmul();       62500 ;   2.7354955673217773E-003
 nested loops;       62500 ;   1.7787194252014159E-002
 numpy;       62500 ;   4.7769546508789060E-004
