 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   9.9980000000000077E-004
 matmul();        2500 ;   1.0000000000000009E-004
 nested loops;        2500 ;   2.0000000000000017E-004
 numpy;        2500 ;   8.9985999999999955E-003
 matmul();       10000 ;   1.0298499999999999E-002
 nested loops;       10000 ;   2.9195499999999996E-002
 numpy;       10000 ;   4.4993000000000064E-003
 matmul();       62500 ;   8.0687599999999998E-002
 nested loops;       62500 ;  0.36324480000000003     
 numpy;       62500 ;   1.2198099999999990E-002
