 method;n_elements;time
 matmul();         100 ;   1.0013580322265625E-006
 nested loops;         100 ;   1.5974044799804688E-006
 numpy;         100 ;   1.3690948486328124E-003
 matmul();        2500 ;   1.0590553283691406E-004
 nested loops;        2500 ;   2.4678707122802732E-004
 numpy;        2500 ;   6.3030719757080074E-004
 matmul();       10000 ;   4.5928955078125002E-004
 nested loops;       10000 ;   1.2834072113037109E-003
 numpy;       10000 ;   2.0720958709716797E-004
 matmul();       62500 ;   3.5112142562866212E-003
 nested loops;       62500 ;   1.7976117134094239E-002
 numpy;       62500 ;   5.6319236755371089E-004
 matmul();      250000 ;   1.6388106346130370E-002
 nested loops;      250000 ;  0.12649500370025635     
 numpy;      250000 ;   2.1425008773803709E-003
 matmul();      562500 ;   5.5611395835876466E-002
 nested loops;      562500 ;  0.40619900226593020     
 numpy;      562500 ;   4.9794912338256836E-003
 matmul();     1000000 ;  0.11928110122680664     
 nested loops;     1000000 ;   1.4040722846984863     
 numpy;     1000000 ;   1.0200381278991699E-002
 matmul();     1000000 ;  0.11620478630065918     
 numpy;     1000000 ;   9.8849058151245124E-003
 matmul() - no allocate;     1000000 ;  0.11773719787597656     
 matmul();     4000000 ;  0.94291331768035891     
 numpy;     4000000 ;   9.0105986595153814E-002
 matmul();     9000000 ;   3.2273509979248045     
 numpy;     9000000 ;  0.24331538677215575     
 matmul();    16000000 ;   7.5544746875762936     
 numpy;    16000000 ;  0.46413638591766360     
 matmul();    25000000 ;   15.225543498992920     
 numpy;    25000000 ;  0.74615890979766841     
