 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   8.9989999999999797E-004
 matmul();        2500 ;   1.0000000000000009E-004
 nested loops;        2500 ;   1.0000000000000009E-004
 numpy;        2500 ;   1.4197900000000003E-002
 matmul();       10000 ;   5.6990999999999899E-003
 nested loops;       10000 ;   2.6695900000000005E-002
 numpy;       10000 ;   4.3993000000000062E-003
 matmul();       62500 ;   8.7286799999999998E-002
 nested loops;       62500 ;  0.35464609999999996     
 numpy;       62500 ;   1.3197999999999955E-002
 matmul();      250000 ;  0.38894080000000003     
 nested loops;      250000 ;  0.14017869999999988     
 numpy;      250000 ;   5.2592000000000104E-002
 matmul();      562500 ;  0.44603230000000005     
 nested loops;      562500 ;  0.45003160000000014     
 numpy;      562500 ;  0.11838210000000018     
 matmul();     1000000 ;  0.48322660000000006     
 nested loops;     1000000 ;   1.4249834000000003     
 numpy;     1000000 ;  0.25026190000000026     
 matmul();     1000000 ;  0.49012549999999988     
 numpy;     1000000 ;  0.23426430000000026     
 matmul() - no allocate;     1000000 ;  0.46282969999999962     
 matmul();     4000000 ;  0.95845440000000015     
 numpy;     4000000 ;   2.1798686000000003     
 matmul();     9000000 ;   3.3457914000000004     
 numpy;     9000000 ;   5.3227907999999982     
 matmul();    16000000 ;   7.7704188000000016     
 numpy;    16000000 ;   9.7050247000000009     
 matmul();    25000000 ;   15.079107599999997     
 numpy;    25000000 ;   13.951379100000002     
