 method;n_elements;time
 matmul();         100 ;   1.3494491577148438E-005
 nested loops;         100 ;   8.8214874267578129E-007
 numpy;         100 ;   1.5146970748901368E-003
 matmul();        2500 ;   5.7601928710937499E-005
 nested loops;        2500 ;   1.2021064758300781E-004
 numpy;        2500 ;   9.8221302032470699E-004
 matmul();       10000 ;   2.0430088043212890E-004
 nested loops;       10000 ;   1.0867118835449219E-003
 numpy;       10000 ;   1.4641284942626954E-004
 matmul();       62500 ;   2.7142047882080080E-003
 nested loops;       62500 ;   1.8912816047668458E-002
 numpy;       62500 ;   5.5708885192871092E-004
 matmul();      250000 ;   2.0813894271850587E-002
 nested loops;      250000 ;  0.11589789390563965     
 numpy;      250000 ;   1.8710851669311523E-003
 matmul();      562500 ;   5.4165291786193850E-002
 nested loops;      562500 ;  0.40353088378906249     
 numpy;      562500 ;   4.3475866317749020E-003
 matmul();     1000000 ;  0.11877691745758057     
 nested loops;     1000000 ;   1.4789308071136475     
 numpy;     1000000 ;   1.0236310958862304E-002
 matmul();     1000000 ;  0.11853959560394287     
 numpy;     1000000 ;   1.0115313529968261E-002
 matmul() - no allocate;     1000000 ;  0.12123639583587646     
 matmul();     4000000 ;  0.94786138534545894     
 numpy;     4000000 ;   8.8552999496459964E-002
 matmul();     9000000 ;   3.1372462034225466     
 numpy;     9000000 ;  0.22899329662322998     
 matmul();    16000000 ;   7.5741770029067990     
 numpy;    16000000 ;  0.45751740932464602     
 matmul();    25000000 ;   14.982079887390137     
 numpy;    25000000 ;  0.74042971134185787     
