 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   1.4998018741607666E-003
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   0.0000000000000000     
 numpy;        2500 ;   1.8597200512886047E-002
 matmul();       10000 ;   8.8985979557037360E-003
 nested loops;       10000 ;   3.7094402313232425E-002
 numpy;       10000 ;   8.7985992431640625E-003
 matmul();       62500 ;  0.12438110113143921     
 nested loops;       62500 ;  0.52961950302124028     
 numpy;       62500 ;   2.1096706390380859E-002
 matmul();      250000 ;  0.63770294189453125     
 nested loops;      250000 ;  0.11608228683471680     
 numpy;      250000 ;   7.0389366149902349E-002
 matmul();      562500 ;  0.64190254211425779     
 nested loops;      562500 ;  0.40343856811523438     
 numpy;      562500 ;  0.14867725372314453     
 matmul();     1000000 ;  0.65460052490234377     
 nested loops;     1000000 ;  0.96185340881347658     
 numpy;     1000000 ;  0.30015411376953127     
 matmul();     1000000 ;  0.67319755554199223     
 numpy;     1000000 ;  0.30015449523925780     
 matmul-noalloc;     1000000 ;  0.62970390319824221     
 matmul();     2250000 ;  0.43023452758789060     
 nested loops;     2250000 ;   4.3018463134765623     
 numpy;     2250000 ;  0.81287612915039065     
 matmul();     4000000 ;   1.1527236938476562     
 nested loops;     4000000 ;   21.554623413085938     
 numpy;     4000000 ;   1.8798126220703124     
 matmul();     6250000 ;   1.9984954833984374     
 numpy;     6250000 ;   2.7660797119140623     
 matmul();     9000000 ;   3.4604736328125001     
 numpy;     9000000 ;   4.8689605712890627     
 matmul();    12250000 ;   5.4861633300781252     
 numpy;    12250000 ;   7.5398559570312500     
 matmul();    16000000 ;   8.1838562011718743     
 numpy;    16000000 ;   10.589886474609376     
 matmul();    20250000 ;   11.666326904296875     
 numpy;    20250000 ;   14.598571777343750     
 matmul();    25000000 ;   15.933288574218750     
 numpy;    25000000 ;   17.412951660156249     
 matmul();    30250000 ;   21.313464355468749     
 numpy;    30250000 ;   21.249365234374999     
 matmul();    36000000 ;   27.487915039062500     
 numpy;    36000000 ;   24.540698242187499     
 matmul();    42250000 ;   35.143334960937501     
 numpy;    42250000 ;   29.816186523437501     
 matmul();    49000000 ;   43.700048828124999     
 numpy;    49000000 ;   33.000195312499997     
 matmul();    56250000 ;   52.644311523437501     
 numpy;    56250000 ;   39.113574218750003     
