 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   6.0000009834766384E-004
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   0.0000000000000000     
 numpy;        2500 ;   1.5997998416423798E-003
 matmul();       10000 ;   4.0000006556510924E-004
 nested loops;       10000 ;   2.2996999323368073E-003
 numpy;       10000 ;   4.6992994844913486E-003
 matmul();       62500 ;   7.0988997817039486E-003
 nested loops;       62500 ;   4.1693602502346036E-002
 numpy;       62500 ;   6.2990963459014894E-003
 matmul();      250000 ;   4.6092993021011351E-002
 nested loops;      250000 ;   0.0000000000000000     
 numpy;      250000 ;   2.7795803546905518E-002
 matmul();      562500 ;   4.1593694686889650E-002
 nested loops;      562500 ;   0.0000000000000000     
 numpy;      562500 ;   2.6695907115936279E-002
 matmul();     1000000 ;   4.0693807601928714E-002
 nested loops;     1000000 ;   0.0000000000000000     
 numpy;     1000000 ;   6.2990403175354009E-002
 matmul();     1000000 ;   4.1993594169616698E-002
 numpy;     1000000 ;   5.5491614341735843E-002
 matmul-noalloc;     1000000 ;   3.6394500732421876E-002
 matmul();     2250000 ;   1.9997119903564452E-003
 nested loops;     2250000 ;   0.0000000000000000     
 numpy;     2250000 ;   8.8586568832397461E-002
 matmul();     4000000 ;   1.6897392272949219E-002
 nested loops;     4000000 ;   0.0000000000000000     
 numpy;     4000000 ;  0.11198301315307617     
 matmul();     6250000 ;   2.2596549987792969E-002
 numpy;     6250000 ;  0.19267063140869140     
 matmul();     9000000 ;   3.0895233154296875E-002
 numpy;     9000000 ;  0.29955434799194336     
 matmul();    12250000 ;   4.2293643951416014E-002
 numpy;    12250000 ;  0.43763341903686526     
 matmul();    16000000 ;   5.4391670227050784E-002
 numpy;    16000000 ;  0.54591693878173830     
 matmul();    20250000 ;   6.8589782714843756E-002
 numpy;    20250000 ;  0.76798324584960942     
 matmul();    25000000 ;   8.5986709594726568E-002
 numpy;    25000000 ;  0.84307174682617192     
 matmul();    30250000 ;   9.8784637451171872E-002
 numpy;    30250000 ;  0.88816528320312504     
 matmul();    36000000 ;  0.11788215637207031     
 numpy;    36000000 ;  0.92136001586914062     
 matmul();    42250000 ;  0.13977890014648436     
 numpy;    42250000 ;   1.0350425720214844     
 matmul();    49000000 ;  0.16057586669921875     
 numpy;    49000000 ;   1.1436264038085937     
 matmul();    56250000 ;  0.18217239379882813     
 numpy;    56250000 ;   1.1490249633789062     
