 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   6.9990009069442749E-004
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   1.9990056753158570E-004
 numpy;        2500 ;   1.0798399150371552E-002
 matmul();       10000 ;   1.2398099899291993E-002
 nested loops;       10000 ;   5.2492004632949826E-002
 numpy;       10000 ;   3.6993980407714843E-003
 matmul();       62500 ;   9.1685998439788821E-002
 nested loops;       62500 ;  0.53481869697570805     
 numpy;       62500 ;   1.3597917556762696E-002
 matmul();      250000 ;  0.60320835113525395     
 nested loops;      250000 ;  0.11618232727050781     
 numpy;      250000 ;   3.6694431304931642E-002
 matmul();      562500 ;  0.60940723419189458     
 nested loops;      562500 ;  0.40253887176513670     
 numpy;      562500 ;   9.6385383605957026E-002
 matmul();     1000000 ;  0.63190383911132808     
 nested loops;     1000000 ;  0.95785446166992183     
 numpy;     1000000 ;  0.16597480773925782     
 matmul();     1000000 ;  0.64860153198242188     
 numpy;     1000000 ;  0.16917419433593750     
 matmul-noalloc;     1000000 ;  0.61750602722167969     
 matmul();     2250000 ;  0.42933502197265627     
 nested loops;     2250000 ;   4.3780342102050778     
 numpy;     2250000 ;  0.53881835937500000     
 matmul();     4000000 ;   1.1639236450195312     
 nested loops;     4000000 ;   21.730297851562501     
 numpy;     4000000 ;   1.3090026855468750     
 matmul();     6250000 ;   1.9755004882812499     
 numpy;     6250000 ;   2.3755401611328124     
 matmul();     9000000 ;   3.4374786376953126     
 numpy;     9000000 ;   4.2837493896484373     
 matmul();    12250000 ;   5.4364715576171871     
 numpy;    12250000 ;   6.6520935058593746     
 matmul();    16000000 ;   8.1052673339843757     
 numpy;    16000000 ;   9.1566040039062493     
 matmul();    20250000 ;   11.557141113281251     
 numpy;    20250000 ;   13.055218505859376     
 matmul();    25000000 ;   15.812500000000000     
 numpy;    25000000 ;   15.706518554687500     
 matmul();    30250000 ;   21.149890136718749     
 numpy;    30250000 ;   18.426892089843751     
 matmul();    36000000 ;   27.345239257812501     
 numpy;    36000000 ;   21.873583984374999     
 matmul();    42250000 ;   34.880786132812503     
 numpy;    42250000 ;   25.856567382812500     
 matmul();    49000000 ;   43.326416015625000     
 numpy;    49000000 ;   30.838012695312500     
 matmul();    56250000 ;   52.288256835937503     
 numpy;    56250000 ;   35.785546875000001     
