 method;n_elements;time
 matmul();         100 ;   7.8678131103515621E-007
 nested loops;         100 ;   6.1988830566406252E-007
 numpy;         100 ;   1.6950130462646484E-003
 matmul();        2500 ;   1.0120868682861328E-004
 nested loops;        2500 ;   8.9406967163085938E-005
 numpy;        2500 ;   1.0496139526367187E-003
 matmul();       10000 ;   2.2149085998535156E-004
 nested loops;       10000 ;   1.0324001312255859E-003
 numpy;       10000 ;   2.0630359649658202E-004
 matmul();       62500 ;   3.0063867568969728E-003
 nested loops;       62500 ;   1.7258715629577637E-002
 numpy;       62500 ;   8.0101490020751949E-004
 matmul();      250000 ;   1.8729209899902344E-002
 nested loops;      250000 ;  0.11613090038299560     
 numpy;      250000 ;   1.7709970474243165E-003
 matmul();      562500 ;   6.0696196556091306E-002
 nested loops;      562500 ;  0.40416948795318602     
 numpy;      562500 ;   3.6339044570922853E-003
 matmul();     1000000 ;  0.13225879669189453     
 nested loops;     1000000 ;  0.96236529350280764     
 numpy;     1000000 ;   6.6780090332031247E-003
 matmul();     1000000 ;  0.13615088462829589     
 numpy;     1000000 ;   6.5227985382080075E-003
 matmul-noalloc;     1000000 ;  0.13573460578918456     
 matmul();     2250000 ;  0.42998330593109130     
 nested loops;     2250000 ;   4.3465374946594242     
 numpy;     2250000 ;   1.7964506149291994E-002
 matmul();     4000000 ;   1.0180041074752808     
 nested loops;     4000000 ;   21.801654815673828     
 numpy;     4000000 ;   4.0561199188232422E-002
 matmul();     6250000 ;   1.9817125082015992     
 numpy;     6250000 ;   7.1223902702331546E-002
 matmul();     9000000 ;   3.4417922973632811     
 numpy;     9000000 ;  0.12680399417877197     
 matmul();    12250000 ;   5.4529263019561771     
 numpy;    12250000 ;  0.19724881649017334     
 matmul();    16000000 ;   8.1420178890228279     
 numpy;    16000000 ;  0.26920640468597412     
 matmul();    20250000 ;   11.593289208412170     
 numpy;    20250000 ;  0.39204969406127932     
 matmul();    25000000 ;   15.849430394172668     
 numpy;    25000000 ;  0.53390669822692871     
 matmul();    30250000 ;   21.162242984771730     
 numpy;    30250000 ;  0.66040151119232182     
 matmul();    36000000 ;   27.406212401390075     
 numpy;    36000000 ;  0.83426089286804195     
 matmul();    42250000 ;   34.894190478324887     
 numpy;    42250000 ;   1.0157410860061646     
 matmul();    49000000 ;   43.291852617263793     
 numpy;    49000000 ;   1.2607791900634766     
 matmul();    56250000 ;   52.285858178138731     
 numpy;    56250000 ;   1.4812757968902588     
