 method;n_elements;time
 matmul();         100 ;   1.0490417480468750E-005
 nested loops;         100 ;   6.9141387939453123E-007
 numpy;         100 ;   1.6194820404052735E-003
 matmul();        2500 ;   9.7298622131347662E-005
 nested loops;        2500 ;   2.4440288543701170E-004
 numpy;        2500 ;   8.2871913909912112E-004
 matmul();       10000 ;   3.9339065551757812E-004
 nested loops;       10000 ;   1.6396999359130859E-003
 numpy;       10000 ;   2.8429031372070315E-004
 matmul();       62500 ;   3.0274868011474611E-003
 nested loops;       62500 ;   1.7263102531433105E-002
 numpy;       62500 ;   7.1561336517333984E-004
 matmul();      250000 ;   1.9817900657653809E-002
 nested loops;      250000 ;  0.11715929508209229     
 numpy;      250000 ;   1.9946098327636719E-003
 matmul();      562500 ;   6.0371804237365725E-002
 nested loops;      562500 ;  0.40311810970306394     
 numpy;      562500 ;   3.9983987808227539E-003
 matmul();     1000000 ;  0.13611218929290772     
 nested loops;     1000000 ;  0.96174900531768803     
 numpy;     1000000 ;   8.0329179763793945E-003
 matmul();     1000000 ;  0.12900650501251221     
 numpy;     1000000 ;   7.7466964721679688E-003
 matmul-noalloc;     1000000 ;  0.12765359878540039     
 matmul();     2250000 ;  0.43193399906158447     
 nested loops;     2250000 ;   4.3477777004241940     
 numpy;     2250000 ;   2.2193408012390135E-002
 matmul();     4000000 ;   1.0195860147476197     
 nested loops;     4000000 ;   21.598529791831972     
 numpy;     4000000 ;   5.2683091163635253E-002
 matmul();     6250000 ;   2.0064663887023926     
 numpy;     6250000 ;   7.4221587181091314E-002
 matmul();     9000000 ;   3.4926301956176760     
 numpy;     9000000 ;  0.12711150646209718     
 matmul();    12250000 ;   5.5107074022293094     
 numpy;    12250000 ;  0.19939210414886474     
 matmul();    16000000 ;   8.2450453042984009     
 numpy;    16000000 ;  0.28017580509185791     
 matmul();    20250000 ;   11.701384401321411     
 numpy;    20250000 ;  0.41478290557861330     
 matmul();    25000000 ;   16.013538289070130     
 numpy;    25000000 ;  0.54356451034545894     
 matmul();    30250000 ;   21.339050292968750     
 numpy;    30250000 ;  0.68217589855194094     
 matmul();    36000000 ;   27.603512716293334     
 numpy;    36000000 ;  0.86720950603485103     
 matmul();    42250000 ;   35.187637686729431     
 numpy;    42250000 ;   1.0630130052566529     
 matmul();    49000000 ;   43.814330005645751     
 numpy;    49000000 ;   1.2664602041244506     
 matmul();    56250000 ;   52.488525104522708     
 numpy;    56250000 ;   1.5032301902770997     
