 method;n_elements;time
 matmul();         100 ;   0.0000000000000000     
 nested loops;         100 ;   0.0000000000000000     
 numpy;         100 ;   1.2997000000000009E-003
 matmul();        2500 ;   0.0000000000000000     
 nested loops;        2500 ;   2.0000000000000017E-004
 numpy;        2500 ;   2.0096899999999994E-002
 matmul();       10000 ;   1.4197899999999996E-002
 nested loops;       10000 ;   3.7094300000000004E-002
 numpy;       10000 ;   7.2988000000000055E-003
 matmul();       62500 ;  0.10828359999999999     
 nested loops;       62500 ;  0.54671699999999990     
 numpy;       62500 ;   1.9696999999999944E-002
 matmul();      250000 ;  0.63700309999999993     
 nested loops;      250000 ;  0.11578240000000015     
 numpy;      250000 ;   7.6688400000000101E-002
 matmul();      562500 ;  0.64210239999999996     
 nested loops;      562500 ;  0.40483849999999999     
 numpy;      562500 ;  0.14817740000000015     
 matmul();     1000000 ;  0.65690019999999971     
 nested loops;     1000000 ;  0.97215229999999975     
 numpy;     1000000 ;  0.29705489999999984     
 matmul();     1000000 ;  0.67199779999999976     
 numpy;     1000000 ;  0.28145710000000007     
 matmul-noalloc;     1000000 ;  0.12198149999999970     
 matmul();     2250000 ;  0.42903480000000088     
 nested loops;     2250000 ;   4.3952318000000004     
 numpy;     2250000 ;  0.82287480000000102     
 matmul();     4000000 ;   1.1623233999999996     
 nested loops;     4000000 ;   21.652908200000002     
 numpy;     4000000 ;   1.8858132999999953     
 matmul();     6250000 ;   2.0306914000000007     
 numpy;     6250000 ;   2.7358840999999985     
 matmul();     9000000 ;   3.4807707999999993     
 numpy;     9000000 ;   4.6935863999999983     
 matmul();    12250000 ;   5.5187610000000067     
 numpy;    12250000 ;   7.3147878999999989     
 matmul();    16000000 ;   8.2264495000000011     
 numpy;    16000000 ;   10.192350599999997     
 matmul();    20250000 ;   11.723817800000006     
 numpy;    20250000 ;   14.355317600000012     
 matmul();    25000000 ;   16.024363999999991     
 numpy;    25000000 ;   17.262475700000003     
 matmul();    30250000 ;   21.406045700000004     
 numpy;    30250000 ;   20.267418900000006     
 matmul();    36000000 ;   27.642697700000006     
 numpy;    36000000 ;   24.203920399999969     
 matmul();    42250000 ;   33.151960099999997     
 numpy;    42250000 ;   28.919503600000006     
 matmul();    49000000 ;   42.794194199999993     
 numpy;    49000000 ;   32.750421099999997     
