 method;n_elements;time
 matmul();         100 ;  8.106231689453125E-007
 nested loops;         100 ;  1.096725463867187E-006
 numpy;         100 ;  9.028911590576172E-005
 matmul();        2500 ;  2.839565277099609E-005
 nested loops;        2500 ;  2.441406250000000E-005
 numpy;        2500 ;  4.458427429199219E-005
 matmul();       10000 ;  1.430034637451172E-004
 nested loops;       10000 ;  1.286029815673828E-004
 numpy;       10000 ;  2.119064331054687E-004
 matmul();       62500 ;  3.001809120178223E-003
 nested loops;       62500 ;  2.932786941528320E-003
 numpy;       62500 ;  1.550912857055664E-003
 matmul();      250000 ;  1.825292110443115E-002
 nested loops;      250000 ;  1.768889427185059E-002
 numpy;      250000 ;  1.007239818572998E-002
 matmul();      562500 ;  7.605519294738769E-002
 nested loops;      562500 ;  7.500209808349609E-002
 numpy;      562500 ;  3.158550262451172E-002
 matmul();     1000000 ;  0.133455586433411     
 nested loops;     1000000 ;  0.134120917320251     
 numpy;     1000000 ;  7.276718616485596E-002
 matmul();     1000000 ;  0.136635994911194     
 numpy;     1000000 ;  7.266788482666016E-002
 matmul-noalloc;     1000000 ;  0.118343496322632     
 matmul();     2250000 ;  0.466844606399536     
 nested loops;     2250000 ;  0.451220011711121     
 numpy;     2250000 ;  0.238542294502258     
 matmul();     4000000 ;   1.08500039577484     
 nested loops;     4000000 ;   1.06742300987244     
 numpy;     4000000 ;  0.561211800575256     
 matmul();     6250000 ;   2.15933101177216     
 numpy;     6250000 ;   1.09771652221680     
 matmul();     9000000 ;   3.74369029998779     
 numpy;     9000000 ;   1.86360969543457     
 matmul();    12250000 ;   5.95338912010193     
 numpy;    12250000 ;   2.97238261699677     
 matmul();    16000000 ;   9.31196551322937     
 numpy;    16000000 ;   4.36153500080109     
 matmul();    20250000 ;   12.6938622951508     
 numpy;    20250000 ;   6.24428908824921     
 matmul();    25000000 ;   17.3145036935806     
 numpy;    25000000 ;   8.50394778251648     
 matmul();    30250000 ;   23.3764338970184     
 numpy;    30250000 ;   11.3804594039917     
 matmul();    36000000 ;   30.2600429773331     
 numpy;    36000000 ;   14.6292069911957     
 matmul();    42250000 ;   38.3677531957626     
 numpy;    42250000 ;   18.6126614093781     
 matmul();    49000000 ;   48.0795008182526     
 numpy;    49000000 ;   23.1159543991089     
 matmul();    56250000 ;   58.2990366935730     
 numpy;    56250000 ;   28.3585124969482     
