 method;n_elements;time
 matmul();         100 ;  6.914138793945312E-007
 nested loops;         100 ;  9.775161743164062E-007
 numpy;         100 ;  4.251003265380859E-004
 matmul();        2500 ;  2.768039703369140E-005
 nested loops;        2500 ;  2.489089965820313E-005
 numpy;        2500 ;  4.281997680664062E-005
 matmul();       10000 ;  1.375913619995117E-004
 nested loops;       10000 ;  1.271963119506836E-004
 numpy;       10000 ;  3.112077713012695E-004
 matmul();       62500 ;  2.958703041076660E-003
 nested loops;       62500 ;  2.869701385498047E-003
 numpy;       62500 ;  1.543688774108887E-003
 matmul();      250000 ;  1.821148395538330E-002
 nested loops;      250000 ;  1.755080223083496E-002
 numpy;      250000 ;  1.005439758300781E-002
 matmul();      562500 ;  7.563960552215576E-002
 nested loops;      562500 ;  7.497291564941407E-002
 numpy;      562500 ;  3.150100708007812E-002
 matmul();     1000000 ;  0.137048792839050     
 nested loops;     1000000 ;  0.133966898918152     
 numpy;     1000000 ;  7.272689342498780E-002
 matmul();     1000000 ;  0.136128401756287     
 numpy;     1000000 ;  7.332458496093749E-002
 matmul-noalloc;     1000000 ;  0.118179106712341     
 matmul();     2250000 ;  0.481543302536011     
 nested loops;     2250000 ;  0.450751614570618     
 numpy;     2250000 ;  0.237483501434326     
 matmul();     4000000 ;   1.07683110237122     
 nested loops;     4000000 ;   1.06519529819489     
 numpy;     4000000 ;  0.558035087585449     
 matmul();     6250000 ;   2.14040369987488     
 numpy;     6250000 ;   1.09249629974365     
 matmul();     9000000 ;   3.69108729362488     
 numpy;     9000000 ;   1.85530319213867     
 matmul();    12250000 ;   5.89837169647217     
 numpy;    12250000 ;   2.95789911746979     
 matmul();    16000000 ;   8.60800030231476     
 numpy;    16000000 ;   4.34019520282745     
 matmul();    20250000 ;   12.5595973968506     
 numpy;    20250000 ;   6.22574830055237     
 matmul();    25000000 ;   17.2497030019760     
 numpy;    25000000 ;   8.50123798847198     
 matmul();    30250000 ;   23.2749699115753     
 numpy;    30250000 ;   11.3494509220123     
 matmul();    36000000 ;   30.1228730916977     
 numpy;    36000000 ;   14.6152134895325     
 matmul();    42250000 ;   38.1812613010406     
 numpy;    42250000 ;   18.6091258049011     
 matmul();    49000000 ;   47.8736552953720     
 numpy;    49000000 ;   23.1846801042557     
 matmul();    56250000 ;   58.3058819055557     
 numpy;    56250000 ;   28.3585986852646     
