 method;n_elements;time
 matmul();         100 ;  0.000000000000000E+000
 nested loops;         100 ;  0.000000000000000E+000
 numpy;         100 ;  0.000000000000000E+000
 matmul();        2500 ;  0.000000000000000E+000
 nested loops;        2500 ;  0.000000000000000E+000
 numpy;        2500 ;  0.000000000000000E+000
 matmul();       10000 ;  1.000000000000001E-004
 nested loops;       10000 ;  1.000000000000001E-004
 numpy;       10000 ;  1.999999999999974E-004
 matmul();       62500 ;  2.999500000000002E-003
 nested loops;       62500 ;  2.899599999999997E-003
 numpy;       62500 ;  1.499800000000001E-003
 matmul();      250000 ;  1.839720000000000E-002
 nested loops;      250000 ;  1.769730000000000E-002
 numpy;      250000 ;  1.009850000000000E-002
 matmul();      562500 ;  7.598840000000001E-002
 nested loops;      562500 ;  7.408870000000004E-002
 numpy;      562500 ;  3.169520000000001E-002
 matmul();     1000000 ;  0.136479100000000     
 nested loops;     1000000 ;  0.134779500000000     
 numpy;     1000000 ;  7.258890000000004E-002
 matmul();     1000000 ;  0.136479200000000     
 numpy;     1000000 ;  7.268899999999992E-002
 matmul-noalloc;     1000000 ;  0.118482000000000     
 matmul();     2250000 ;  0.467528900000000     
 nested loops;     2250000 ;  0.455530800000000     
 numpy;     2250000 ;  0.239563500000000     
 matmul();     4000000 ;   1.08323540000000     
 nested loops;     4000000 ;   1.07683630000000     
 numpy;     4000000 ;  0.561414700000000     
 matmul();     6250000 ;   2.15657210000000     
 numpy;     6250000 ;   1.09803310000000     
 matmul();     9000000 ;   3.72683340000000     
 numpy;     9000000 ;   1.86421650000000     
 matmul();    12250000 ;   5.96479320000000     
 numpy;    12250000 ;   2.97324810000000     
 matmul();    16000000 ;   8.68837910000000     
 numpy;    16000000 ;   4.36033720000000     
 matmul();    20250000 ;   12.6749731000000     
 numpy;    20250000 ;   6.24585050000000     
 matmul();    25000000 ;   17.3530620000000     
 numpy;    25000000 ;   8.50320740000001     
 matmul();    30250000 ;   23.3600487000000     
 numpy;    30250000 ;   11.3576733000000     
 matmul();    36000000 ;   30.2651990000000     
 numpy;    36000000 ;   14.6187777000000     
 matmul();    42250000 ;   38.3832648000000     
 numpy;    42250000 ;   18.6152701000000     
 matmul();    49000000 ;   48.0303983000000     
 numpy;    49000000 ;   23.1856752000000     
 matmul();    56250000 ;   58.7022759000000     
 numpy;    56250000 ;   28.4947681000000     
